Student_ID,Attendance,Favourite_Color,Previous_Score,Random_Code,Age,Study_Hours,Gender,Lucky_Number,Absences,Education,Music_Preference,Income,Assignments_Completed,Random_Value,Stress_Level,City,Previous_Failures,Random_Flag,Parent_Support,Pet_Ownership,Financial_Stress,Random_Category,Library_Visits,Commute_Minutes,Birth_Weekday,Random_Number_2,Mock_Test_Score,Internet_Quality,Random_Date_Code,Mentor_Meetings,Sleep_Hours,Device,Random_Score,Academic_Warning,Extracurricular_Hours,Registration_Quarter,Random_Bucket,Assignment_Submission_Rate,Financial_Aid,Outcome
S112526,56.8,Blue,71,858023,37,4.6,M,956231,28,Diploma,Jazz,90.2k,18,469.9974140986764,6,Thrissur,1,1,9,None,6,B,18,5,0,6788797,24,,593410,4,7.3,Android,1.1848834159150834,No,8.5,3,X4,86.2,YES,Continue
S144148,75.7,Red,81,699449,33,4.0 hrs,Male,375332,,Graduate,Pop,62799,12,115.24929470189909,6,Kottayam,0,0,8,Dog,1,F,6,17,5,,45,,770451,0,8.2,Windows Laptop,88.3575647446444,Yes,6.7,1,X3,60.6,YES,Dropout
S129922,0.9,,67,552659,38,6.6,Male,799568,14,BTech,Rock,,,221.3078939745957,6,Thiruvananthapuram,5,0,7,None,10,E,20,99,5,3046277,88,Good,1389722,8,5.8,Android,13.151927235114346,No,14.6,4,X2,89.7,Yes,Continue
S132434,54.6,Black,94,181664,34,5.5 hrs,,857573,15,B.Tech,Pop,75492,12,122.67293014697543,6,Kottayam,5,,3,None,9,E,2,114,3,,36,Good,1681439,2,,Windows Laptop,92.43367798027113,,11.5,,X3,88.7,Yes,Dropout
S133511,,Green,37,741828,24,1.5,,479124,17,Graduate,Classical,100.3k,17,552.917679241721,9,Thrissur,2,1,2,Bird,,C,13,36,1,,42,Good,1314807,2,8.0,Android,76.58105512873095,,13.2,2,X5,62.7,NO,Dropout
S130173,0.46,Yellow,95,391850,42,7.4,F,,29,B.Tech,None,113413,7,463.5484134928812,9,,5,,9,Bird,2,F,,109,5,9681087,68,Poor,771907,1,8.3,Android,78.2051501147652,No,7.8,2,,,YES,Dropout
,70.0%,Yellow,52,326407,31,8.1h,M,689682,18,BTech,HipHop,"₹60,303",10,557.8161939391287,8,Thiruvananthapuram,5,1,7,Cat,9,E,17,9,5,4978639,72,Average,105710,4,6.4,Laptop,86.87395069851512,No,9.3,3,X2,74.3,Yes,Dropout
S105380,70.9,Red,53,271450,51,1.5 hrs,female,773053,3,BTech,HipHop,55641,12,731.504922772029,1,Kollam,,1,4,Dog,6,C,14,68,4,3139343,70,Good,1636552,6,4.4,Laptop,97.09550318332172,Yes,,2,X4,90.1,YES,Continue
S126313,97.0,Green,31,267982,,1.3,M,626383,2,UG,None,,11,,9,Thrissur,5,0,7,Bird,8,C,11,114,3,5937986,58,Poor,1828348,9,,Tablet,73.6390703234392,,8.1,1,,77.4,YES,Dropout
S108533,60.7%,Red,78,474696,58,8.4,female,965967,20,BTech,,60599,13,,4,Thrissur,0,0,9,Cat,5,E,17,,2,6799312,80,Poor,351804,4,5.5,Windows Laptop,90.23577314258323,No,12.5,2,X1,50.8,YES,Dropout
S104288,78.5,Red,41,279879,19,1.8,,684333,23,Diploma,Jazz,75.2k,0,319.70405104626474,9,Kollam,1,,8,None,6,,3,78,4,1341316,87,Excellent,552879,1,7.5,Windows Laptop,7.7677340838246405,Yes,,4,X5,54.4,NO,Dropout
S138213,76.7%,Blue,56,516070,28,5.6,F,832168,2,BTech,Jazz,109983,13,383.1620505442405,2,Kochi,3,,2,None,,E,3,26,5,8220875,75,Good,52356,12,6.9,Tablet,27.671426597392536,,4.9,4,X2,68.0,YES,Dropout
S105170,86.7,Blue,,381206,29,0.5,M,761275,,BTech,Jazz,19576,3,202.0421587547052,1,Kochi,2,,5,Bird,10,D,9,18,2,5306940,,,130958,9,8.3,Android,85.24341003510227,,2.9,3,X3,98.7,NO,Dropout
